,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
544,Maarten Paes,nl NED,GK,FC Dallas,23,1998,32,32,2880,32.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,eb343262
545,Diego Palacios,ec ECU,DF,Los Angeles FC,22,1999,28,27,2407,26.7,1,4,1,0,0,8,0,0.04,0.15,0.19,0.04,0.19,0.7,0.7,3.7,4.4,0.02,0.14,0.16,0.02,0.16,Matches,6ec37f2e
546,Victor Pálsson,is ISL,MFDF,D.C. United,30,1991,10,10,872,9.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.8,0.8,0.1,0.9,0.08,0.01,0.09,0.08,0.09,Matches,831cf3ac
547,Elliot Panicco,us USA,GK,Nashville,25,1996,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,e93972ac
548,James Pantemis,ca CAN,GK,CF Montréal,24,1997,11,11,990,11.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,901408ac
549,Cristhian Paredes,py PAR,MF,Portland Timbers,23,1998,27,20,1663,18.5,2,2,1,1,1,6,0,0.11,0.11,0.22,0.05,0.16,3.6,2.8,1.5,4.3,0.19,0.08,0.28,0.15,0.23,Matches,0d8a2551
550,Tim Parker,us USA,DF,Houston Dynamo,28,1993,28,26,2252,25.0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.9,0.9,0.2,1.1,0.04,0.01,0.04,0.04,0.04,Matches,4988a44d
551,Keaton Parks,us USA,MF,NYCFC,24,1997,18,12,1025,11.4,2,0,2,0,0,2,0,0.18,0.00,0.18,0.18,0.18,2.0,2.0,1.1,3.0,0.17,0.09,0.27,0.17,0.27,Matches,77986763
552,Tyler Pasher,ca CAN,FWMF,Houston Dynamo,27,1994,17,5,628,7.0,2,1,2,0,0,0,0,0.29,0.14,0.43,0.29,0.43,1.9,1.9,0.5,2.4,0.27,0.07,0.35,0.27,0.35,Matches,3a7bec1b
553,Alexandre Pato,br BRA,FWMF,Orlando City,32,1989,22,14,1196,13.3,3,5,2,1,1,0,0,0.23,0.38,0.60,0.15,0.53,4.4,3.6,4.6,8.2,0.33,0.35,0.68,0.27,0.62,Matches,7dd83c7d
554,João Paulo Mior,br BRA,MF,Seattle,30,1991,6,6,453,5.0,1,0,1,0,0,1,0,0.20,0.00,0.20,0.20,0.20,0.3,0.3,0.7,1.0,0.06,0.14,0.20,0.06,0.20,Matches,b96aa1d6
555,Matías Pellegrini,ar ARG,DFFW,NYCFC,21,2000,4,0,63,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.1,0.13,0.08,0.20,0.13,0.20,Matches,b59f0060
556,Jason Pendant,fr FRA,DFMF,NY Red Bulls,24,1997,5,0,79,0.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.15,0.07,0.22,0.15,0.22,Matches,22fe9049
557,Andrés Perea,us USA,MFFW,Orlando City,21,2000,24,7,813,9.0,1,0,1,0,0,1,0,0.11,0.00,0.11,0.11,0.11,0.7,0.7,0.3,1.0,0.07,0.03,0.11,0.07,0.11,Matches,7e1dbecf
558,Daniel Pereira,ve VEN,MF,Austin,21,2000,30,26,2087,23.2,2,0,2,0,0,9,2,0.09,0.00,0.09,0.09,0.09,1.2,1.2,1.2,2.4,0.05,0.05,0.10,0.05,0.10,Matches,b8862e65
559,Gabriel Pereira,br BRA,FW,NYCFC,20,2001,26,14,1345,14.9,8,2,8,0,0,1,0,0.54,0.13,0.67,0.54,0.67,4.5,4.5,2.9,7.4,0.30,0.20,0.50,0.30,0.50,Matches,60c4ac82
560,Mauricio Pereyra,uy URU,MF,Orlando City,31,1990,32,31,2531,28.1,1,8,1,0,1,5,0,0.04,0.28,0.32,0.04,0.32,2.9,2.1,5.8,7.9,0.10,0.21,0.31,0.07,0.28,Matches,f45eb18d
561,Adrien Perez,us USA,MF,D.C. United,26,1995,3,1,133,1.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.07,0.01,0.08,0.07,0.08,Matches,298a167b
562,Jonathan Perez,mx MEX,DF,LA Galaxy,19,2003,1,0,8,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,41e57408
563,Jordan Perruzza,ca CAN,FWMF,Toronto FC,21,2001,13,1,232,2.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.4,0.7,0.14,0.14,0.28,0.14,0.28,Matches,edc8791f
564,Luca Petrasso,ca CAN,DFMF,Toronto FC,21,2000,23,21,1679,18.7,0,2,0,0,0,0,0,0.00,0.11,0.11,0.00,0.11,0.7,0.7,1.8,2.5,0.04,0.10,0.13,0.04,0.13,Matches,fafeaf3d
565,Đorđe Petrović,rs SRB,GK,New England,22,1999,21,21,1890,21.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,0cf321c8
566,Fafà Picault,us USA,FW,Houston Dynamo,30,1991,30,26,2357,26.2,7,2,5,2,2,5,0,0.27,0.08,0.34,0.19,0.27,7.8,6.2,2.8,9.0,0.30,0.11,0.40,0.24,0.34,Matches,dbaa10c0
567,Kayden Pierre,us USA,DF,Sporting KC,18,2003,19,9,953,10.6,0,1,0,0,0,1,0,0.00,0.09,0.09,0.00,0.09,0.1,0.1,0.3,0.4,0.01,0.03,0.04,0.01,0.04,Matches,2f5f098b
568,Samuel Piette,ca CAN,MF,CF Montréal,27,1994,26,16,1490,16.6,0,3,0,0,0,5,0,0.00,0.18,0.18,0.00,0.18,0.3,0.3,1.4,1.7,0.02,0.08,0.10,0.02,0.10,Matches,bc33c73b
569,Mauricio Pineda,us USA,MFDF,Chicago Fire,24,1997,27,23,1998,22.2,1,0,1,0,0,5,0,0.05,0.00,0.05,0.05,0.05,1.5,1.5,1.3,2.8,0.07,0.06,0.13,0.07,0.13,Matches,e0c17cde
570,Donovan Pines,us USA,DF,D.C. United,23,1998,21,16,1447,16.1,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.7,0.6,0.1,0.7,0.04,0.01,0.05,0.04,0.05,Matches,7bd25363
571,Matt Polster,us USA,MF,New England,28,1993,28,24,2116,23.5,2,0,2,0,0,6,0,0.09,0.00,0.09,0.09,0.09,1.6,1.6,0.6,2.2,0.07,0.02,0.09,0.07,0.09,Matches,d1d418f8
572,Paxton Pomykal,us USA,MF,FC Dallas,22,1999,33,30,2432,27.0,0,2,0,0,0,6,0,0.00,0.07,0.07,0.00,0.07,1.1,1.1,2.1,3.2,0.04,0.08,0.12,0.04,0.12,Matches,c1f0fb45
573,Alvas Powell,jm JAM,DF,FC Cincinnati,27,1994,28,24,1930,21.4,0,3,0,0,0,4,0,0.00,0.14,0.14,0.00,0.14,1.2,1.2,1.9,3.2,0.06,0.09,0.15,0.06,0.15,Matches,2f91124d
574,Alejandro Pozuelo,es ESP,MFFW,Toronto FC,30,1991,16,16,1404,15.6,4,4,3,1,2,3,0,0.26,0.26,0.51,0.19,0.45,4.2,2.7,4.2,6.8,0.27,0.27,0.54,0.17,0.44,Matches,5e1280ff
575,Alejandro Pozuelo,es ESP,MFFW,Inter Miami,30,1991,12,12,968,10.8,2,4,2,0,0,1,1,0.19,0.37,0.56,0.19,0.56,1.3,1.3,3.7,5.0,0.12,0.35,0.47,0.12,0.47,Matches,5e1280ff
576,Jack Price,eng ENG,MF,Colorado Rapids,29,1992,17,14,1110,12.3,0,1,0,0,0,3,0,0.00,0.08,0.08,0.00,0.08,0.0,0.0,2.3,2.4,0.00,0.19,0.19,0.00,0.19,Matches,6217c92d
577,Ralph Priso-Mbongue,ca CAN,MF,Toronto FC,19,2002,10,4,278,3.1,1,0,1,0,0,2,1,0.32,0.00,0.32,0.32,0.32,0.2,0.2,0.1,0.3,0.05,0.04,0.09,0.05,0.09,Matches,acb3e899
578,Ralph Priso-Mbongue,ca CAN,MF,Colorado Rapids,19,2002,6,3,190,2.1,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.6,0.6,0.00,0.28,0.28,0.00,0.28,Matches,acb3e899
579,Kacper Przybyłko,pl POL,FW,Chicago Fire,28,1993,25,18,1603,17.8,5,1,5,0,0,3,0,0.28,0.06,0.34,0.28,0.34,6.5,6.5,2.0,8.5,0.36,0.11,0.48,0.36,0.48,Matches,4c53a714
580,Riqui Puig,es ESP,MF,LA Galaxy,22,1999,10,9,826,9.2,3,2,2,1,2,1,0,0.33,0.22,0.54,0.22,0.44,3.0,1.4,1.4,2.8,0.33,0.15,0.48,0.15,0.31,Matches,f090a37a
581,John Pulskamp,us USA,GK,Sporting KC,20,2001,12,11,1028,11.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,6b306c92
582,Facundo Quignon,ar ARG,MF,FC Dallas,28,1993,25,14,1285,14.3,1,0,1,0,0,5,0,0.07,0.00,0.07,0.07,0.07,1.2,1.2,0.5,1.7,0.09,0.03,0.12,0.09,0.12,Matches,5b33b84c
583,Nelson Quiñones,co COL,FW,Houston Dynamo,19,2002,8,0,122,1.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.3,0.07,0.13,0.20,0.07,0.20,Matches,a295f0b3
584,Joshué Quiñónez,ec ECU,DF,FC Dallas,21,2000,7,1,100,1.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.02,0.02,0.00,0.02,Matches,c7305b1d
585,Darwin Quintero,co COL,MFFW,Houston Dynamo,34,1987,31,22,1765,19.6,8,3,7,1,1,4,0,0.41,0.15,0.56,0.36,0.51,6.0,5.2,6.7,11.9,0.30,0.34,0.64,0.26,0.60,Matches,0cc00553
586,Jairo Quinteros,bo BOL,DF,Inter Miami,20,2001,4,2,282,3.1,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.04,0.00,0.04,0.04,0.04,Matches,8363a7e8
587,Romell Quioto,hn HON,FW,CF Montréal,30,1991,30,24,2045,22.7,15,5,11,4,5,5,1,0.66,0.22,0.88,0.48,0.70,14.8,10.9,4.4,15.3,0.65,0.19,0.85,0.48,0.67,Matches,122e850d
588,Jackson Ragen,us USA,DF,Seattle,23,1998,23,14,1391,15.5,0,0,0,0,0,6,1,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.2,0.9,0.04,0.01,0.06,0.04,0.06,Matches,a3d67f70
589,Brooklyn Raines,us USA,MF,Houston Dynamo,16,2005,1,0,34,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,b4caa0c5
590,Ryan Raposo,ca CAN,DF,Vancouver,22,1999,30,17,1440,16.0,2,1,2,0,0,2,0,0.12,0.06,0.19,0.12,0.19,1.2,1.2,1.6,2.8,0.07,0.10,0.17,0.07,0.17,Matches,f006a9b3
591,Justin Rasmussen,us USA,DF,Portland Timbers,23,1998,9,7,646,7.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.3,0.5,0.03,0.04,0.07,0.03,0.07,Matches,989ecf23
592,Rayan Raveloson,mg MAD,MF,LA Galaxy,25,1997,22,21,1781,19.8,3,2,3,0,0,4,0,0.15,0.10,0.25,0.15,0.25,4.3,4.3,1.3,5.5,0.22,0.06,0.28,0.21,0.28,Matches,fb3236a7
593,Matthew Real,us USA,MFDF,Philadelphia,22,1999,8,2,173,1.9,1,0,1,0,0,0,0,0.52,0.00,0.52,0.52,0.52,0.1,0.1,0.0,0.1,0.07,0.01,0.07,0.07,0.07,Matches,1c2c030a
594,Rodney Redes,py PAR,FWMF,Austin,21,2000,12,0,172,1.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.0,0.4,0.19,0.00,0.19,0.19,0.19,Matches,426c3982
595,Benjamin Redzic,us USA,MFFW,FC Dallas,19,2002,6,0,67,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,0.39,0.06,0.45,0.39,0.45,Matches,ea8087aa
596,Pierre Reedy,us USA,MF,Real Salt Lake,24,1998,1,0,8,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,903f2d95
597,Eric Remedi,ar ARG,MF,San Jose,26,1995,25,18,1444,16.0,0,0,0,0,0,9,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.5,0.8,0.02,0.03,0.05,0.02,0.05,Matches,38e2cbd6
598,Justin Rennicks,us USA,FW,New England,22,1999,17,11,780,8.7,2,0,2,0,0,0,0,0.23,0.00,0.23,0.23,0.23,1.7,1.7,0.3,2.0,0.20,0.03,0.23,0.20,0.23,Matches,0aaa1c04
599,Ben Reveno,us USA,FW,New England,22,1999,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,6f0a801a
600,Andrés Reyes,co COL,DF,NY Red Bulls,22,1999,12,8,695,7.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.4,0.7,0.04,0.05,0.08,0.04,0.08,Matches,36ab14f5
601,Yordy Reyna,pe PER,MFFW,Charlotte,28,1993,19,10,845,9.4,3,3,3,0,0,1,0,0.32,0.32,0.64,0.32,0.64,2.2,2.2,2.0,4.2,0.23,0.21,0.45,0.23,0.45,Matches,eec316d9
602,Andre Reynolds II,us USA,FWDF,Chicago Fire,20,2001,12,4,404,4.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,d46dbe4f
603,Emanuel Reynoso,ar ARG,MFFW,Minnesota Utd,26,1995,29,29,2517,28.0,10,6,7,3,4,10,0,0.36,0.21,0.57,0.25,0.46,7.8,4.5,8.1,12.6,0.28,0.29,0.57,0.16,0.45,Matches,614b26e3
604,Spencer Richey,us USA,GK,Chicago Fire,29,1992,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,d9178ea2
605,Will Richmond,us USA,MFFW,San Jose,21,2000,2,0,45,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.06,0.00,0.06,0.06,0.06,Matches,e46ee2e9
606,Tosaint Ricketts,ca CAN,FWDF,Vancouver,34,1987,23,2,450,5.0,4,1,4,0,0,0,0,0.80,0.20,1.00,0.80,1.00,2.5,2.5,0.2,2.7,0.50,0.05,0.55,0.50,0.55,Matches,54769358
607,Emiliano Rigoni,ar ARG,FW,Austin,28,1993,7,3,283,3.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,1.1,1.2,0.04,0.35,0.39,0.04,0.39,Matches,a1216563
608,Alexander Ring,fi FIN,MF,Austin,30,1991,34,32,2780,30.9,4,3,4,0,0,7,0,0.13,0.10,0.23,0.13,0.23,5.0,5.0,3.3,8.3,0.16,0.11,0.27,0.16,0.27,Matches,6c1221d6
609,Rocco Ríos Novo,ar ARG,GK,Atlanta Utd,19,2002,16,15,1395,15.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,f59bd2d3
610,Damien Rivera,us USA,FWMF,New England,19,2002,13,4,417,4.6,1,0,1,0,0,1,0,0.22,0.00,0.22,0.22,0.22,0.9,0.9,0.2,1.1,0.19,0.04,0.24,0.19,0.24,Matches,2822f3dd
611,Nigel Robertha,nl NED,FWMF,D.C. United,23,1998,17,5,715,7.9,1,3,1,0,0,2,0,0.13,0.38,0.50,0.13,0.50,0.7,0.7,2.3,3.0,0.09,0.29,0.38,0.09,0.38,Matches,a94bad97
612,Miles Robinson,us USA,DF,Atlanta Utd,24,1997,9,8,659,7.3,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.1,0.5,0.05,0.02,0.07,0.05,0.07,Matches,782a95d9
613,Robbie Robinson,us USA,FWMF,Inter Miami,23,1998,8,6,485,5.4,1,1,1,0,0,0,0,0.19,0.19,0.37,0.19,0.37,0.6,0.6,0.8,1.5,0.12,0.16,0.27,0.12,0.27,Matches,e0dae99f
614,Harrison Robledo,us USA,MFDF,FC Cincinnati,19,2002,2,0,46,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.00,0.32,0.32,0.00,0.32,Matches,1f36ce15
615,Rodrigues,br BRA,DF,San Jose,24,1997,7,7,622,6.9,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,67f5e064
616,Abraham Rodriguez,us USA,GK,Colorado Rapids,19,2002,1,0,46,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,c7e14787
617,Brian Rodríguez,uy URU,FW,Los Angeles FC,21,2000,14,10,819,9.1,2,3,2,0,0,1,0,0.22,0.33,0.55,0.22,0.55,3.2,3.2,1.8,5.0,0.35,0.20,0.54,0.35,0.54,Matches,c86041d7
618,Emerson Rodríguez,co COL,FWMF,Inter Miami,21,2000,22,1,528,5.9,2,0,2,0,0,2,0,0.34,0.00,0.34,0.34,0.34,1.5,1.5,0.8,2.3,0.26,0.13,0.39,0.26,0.39,Matches,09e5ae16
619,Martín Rodríguez,cl CHI,FWMF,D.C. United,27,1994,14,10,904,10.0,0,1,0,0,0,1,0,0.00,0.10,0.10,0.00,0.10,0.3,0.3,1.3,1.7,0.03,0.13,0.17,0.03,0.17,Matches,c075b5f0
620,Memo Rodriguez,us USA,MFFW,Houston Dynamo,26,1995,30,18,1501,16.7,0,3,0,0,0,6,0,0.00,0.18,0.18,0.00,0.18,2.4,2.4,2.6,5.0,0.14,0.16,0.30,0.14,0.30,Matches,fc6c6b2b
621,Santiago Rodríguez,uy URU,MFFW,NYCFC,22,2000,32,29,2461,27.3,4,10,4,0,0,12,0,0.15,0.37,0.51,0.15,0.51,7.0,7.0,8.3,15.2,0.25,0.30,0.56,0.25,0.56,Matches,86dff811
622,Alex Roldan,sv SLV,DF,Seattle,25,1996,32,29,2610,29.0,1,4,1,0,0,8,1,0.03,0.14,0.17,0.03,0.17,0.4,0.4,3.7,4.0,0.01,0.13,0.14,0.01,0.14,Matches,1255a82a
623,Cristian Roldan,us USA,FWMF,Seattle,26,1995,26,22,2102,23.4,4,4,4,0,0,2,0,0.17,0.17,0.34,0.17,0.34,3.8,3.8,4.1,7.9,0.16,0.17,0.34,0.16,0.34,Matches,48875649
624,Jhohan Romaña,co COL,DF,Austin,23,1998,10,3,336,3.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.05,0.01,0.06,0.05,0.06,Matches,4e32c2d6
625,David Romney,us USA,DF,Nashville,28,1993,31,30,2643,29.4,3,2,3,0,0,2,0,0.10,0.07,0.17,0.10,0.17,2.9,2.9,1.9,4.9,0.10,0.07,0.17,0.10,0.17,Matches,b7b6e781
626,Rafael Romo,ve VEN,GK,D.C. United,31,1990,14,13,1212,13.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,8827c189
627,Eloy Room,cw CUW,GK,Columbus Crew,32,1989,34,34,3060,34.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,6b33d86b
628,Joseph Rosales,hn HON,MF,Minnesota Utd,21,2000,24,8,1052,11.7,0,2,0,0,0,6,1,0.00,0.17,0.17,0.00,0.17,0.6,0.6,1.0,1.6,0.05,0.09,0.14,0.05,0.14,Matches,6a29d06b
629,Oriol Rosell,es ESP,MF,Sporting KC,29,1992,18,13,901,10.0,0,1,0,0,0,5,1,0.00,0.10,0.10,0.00,0.10,0.5,0.5,0.3,0.8,0.05,0.03,0.08,0.05,0.08,Matches,2a17ef3e
630,Keegan Rosenberry,us USA,DFMF,Colorado Rapids,28,1993,34,33,2961,32.9,2,1,2,0,0,4,0,0.06,0.03,0.09,0.06,0.09,0.8,0.8,1.6,2.5,0.03,0.05,0.07,0.03,0.07,Matches,f940c69e
631,Matheus Rossetto,br BRA,MF,Atlanta Utd,25,1996,24,19,1602,17.8,0,1,0,0,0,0,0,0.00,0.06,0.06,0.00,0.06,0.6,0.6,0.9,1.5,0.04,0.05,0.08,0.04,0.08,Matches,daf8c775
632,Paul Rothrock,us USA,FWDF,Toronto FC,23,1999,2,0,34,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,875e8269
633,Kelyn Rowe,us USA,DFMF,Seattle,30,1991,28,14,1307,14.5,1,1,1,0,0,7,2,0.07,0.07,0.14,0.07,0.14,0.8,0.8,0.4,1.2,0.06,0.03,0.09,0.06,0.09,Matches,cf928adb
634,Ruan,br BRA,DF,Orlando City,26,1995,31,29,2454,27.3,2,1,2,0,0,3,0,0.07,0.04,0.11,0.07,0.11,0.7,0.7,3.3,4.1,0.03,0.12,0.15,0.03,0.15,Matches,f2665f7c
635,Rubio Rubin,gt GUA,FWMF,Real Salt Lake,25,1996,23,7,866,9.6,1,0,1,0,0,1,0,0.10,0.00,0.10,0.10,0.10,2.1,2.1,0.3,2.4,0.22,0.03,0.25,0.22,0.25,Matches,9bad7100
636,Diego Rubio,cl CHI,MFFW,Colorado Rapids,28,1993,30,28,2436,27.1,16,5,12,4,4,10,1,0.59,0.18,0.78,0.44,0.63,12.4,9.2,5.8,15.0,0.46,0.21,0.67,0.34,0.55,Matches,3f082234
637,Raúl Ruidíaz,pe PER,FW,Seattle,31,1990,18,14,1302,14.5,9,1,8,1,1,0,0,0.62,0.07,0.69,0.55,0.62,7.1,6.3,1.1,7.4,0.49,0.07,0.56,0.44,0.51,Matches,7a4296e1
638,Pablo Ruíz,ar ARG,MF,Real Salt Lake,23,1998,29,28,2413,26.8,2,4,1,1,2,9,0,0.07,0.15,0.22,0.04,0.19,4.3,2.8,4.2,7.0,0.16,0.16,0.32,0.10,0.26,Matches,7368cd70
639,Sergio Ruiz,es ESP,MF,Charlotte,27,1994,18,7,723,8.0,1,2,1,0,0,2,0,0.12,0.25,0.37,0.12,0.37,0.9,0.9,1.9,2.8,0.11,0.24,0.35,0.11,0.35,Matches,1f423a54
640,Albert Rusnák,sk SVK,MF,Seattle,27,1994,32,30,2603,28.9,3,0,3,0,0,3,0,0.10,0.00,0.10,0.10,0.10,2.6,2.6,2.1,4.8,0.09,0.07,0.17,0.09,0.17,Matches,0adeafaa
641,Johnny Russell,sct SCO,FWMF,Sporting KC,31,1990,33,31,2698,30.0,8,1,5,3,4,4,0,0.27,0.03,0.30,0.17,0.20,8.1,4.9,4.2,9.1,0.27,0.14,0.41,0.16,0.30,Matches,a30e1562
642,Jacen Russell-Rowe,ca CAN,FW,Columbus Crew,19,2002,6,3,228,2.5,0,2,0,0,0,1,0,0.00,0.79,0.79,0.00,0.79,0.4,0.4,0.5,1.0,0.17,0.22,0.39,0.17,0.39,Matches,b33c6ed5
643,Zach Ryan,us USA,FW,NY Red Bulls,23,1999,6,0,43,0.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.1,0.4,0.71,0.14,0.85,0.71,0.85,Matches,74ba46bc
644,Ryan Sailor,us USA,DF,Inter Miami,23,1998,22,14,1521,16.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.9,0.9,0.0,0.9,0.05,0.00,0.05,0.05,0.05,Matches,4924d9bb
645,Carlos Salcedo,mx MEX,DF,Toronto FC,28,1993,13,13,1153,12.8,0,0,0,0,0,5,1,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.3,0.02,0.01,0.03,0.02,0.03,Matches,64c07ae1
646,Shea Salinas,us USA,FWDF,San Jose,35,1986,13,1,203,2.3,1,0,1,0,0,1,0,0.44,0.00,0.44,0.44,0.44,0.3,0.3,0.1,0.4,0.13,0.04,0.17,0.13,0.17,Matches,4c10838d
647,Dániel Sallói,hu HUN,FWMF,Sporting KC,25,1996,29,28,2528,28.1,7,3,7,0,1,2,1,0.25,0.11,0.36,0.25,0.36,5.8,5.0,4.1,9.1,0.21,0.15,0.35,0.18,0.32,Matches,6fcddf5f
648,Gaoussou Samaké,ci CIV,DF,D.C. United,24,1997,3,1,112,1.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.07,0.07,0.00,0.07,Matches,ae760cf4
649,Ilie Sánchez,es ESP,MF,Los Angeles FC,31,1990,33,30,2677,29.7,1,0,1,0,0,7,1,0.03,0.00,0.03,0.03,0.03,1.0,1.0,2.0,2.9,0.03,0.07,0.10,0.03,0.10,Matches,72979f65
650,William Sands,us USA,DF,Columbus Crew,21,2000,12,5,639,7.1,0,1,0,0,0,1,0,0.00,0.14,0.14,0.00,0.14,0.1,0.1,0.1,0.2,0.01,0.02,0.03,0.01,0.03,Matches,960a4473
651,Sergio Santos Gomes,br BRA,FW,Philadelphia,27,1994,11,8,608,6.8,1,3,1,0,0,2,0,0.15,0.44,0.59,0.15,0.59,1.7,1.7,3.1,4.8,0.25,0.47,0.71,0.25,0.71,Matches,a930b263
652,Sergio Santos Gomes,br BRA,FW,FC Cincinnati,27,1994,8,0,138,1.5,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,1.5,1.5,0.3,1.8,0.96,0.22,1.18,0.96,1.18,Matches,a930b263
653,Koa Santos,us USA,MF,Charlotte,22,1999,1,1,56,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,c09ddc5e
654,Nuno Santos,pt POR,MFFW,Charlotte,22,1999,4,1,159,1.8,1,0,1,0,0,1,0,0.57,0.00,0.57,0.57,0.57,0.7,0.7,0.0,0.7,0.38,0.00,0.38,0.38,0.38,Matches,6fc57554
